StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Gender,Appointment,Years,Split,Likert Senate Both_1,Likert Senate Both_2,Likert Senate Both_3,Likert Senate Both_4,Likert Senate Both_5,Likert Senate Both_6,Likert Senate Both_7,Likert Senate Both_8,Likert Senate Both_9,Likert Senate Both_10,Q20,Q21,Q22,Q23,Council question bot,Council Likert Both_1,Council Likert Both_2,Council Likert Both_3,Council Likert Both_4,Council Likert Both_5,Council Likert Both_6,Council Likert Both_7,Council Likert Both_8,Council Likert Both_9,Council Likert Both_10,Q24,Q25,Q26,Q27,Likert Senate_1,Likert Senate_2,Likert Senate_3,Likert Senate_4,Likert Senate_5,Likert Senate_6,Likert Senate_7,Likert Senate_8,Likert Senate_9,Likert Senate_10,Comment Likert Sen,Process Senate,Policy Senate,Feedback Senate,Council name,Likert Council_1,Likert Council_2,Likert Council_3,Likert Council_4,Likert Council_5,Likert Council_6,Likert Council_7,Likert Council_8,Likert Council_9,Likert Council_10,Likert Council Comme,Process Council,Q16,Feedback Council
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your current gender identity?,What is your primary appointment?,How many years have you been at the university?,"Are you serving on a Faculty Council or in the Faculty Senate? 

If you serve in the Senate and on a Council, please check both boxes.",Please share your response to each statement below regarding your work on the Faculty Senate. - The Faculty Senate communicates meeting agendas and materials in a timely manner,Please share your response to each statement below regarding your work on the Faculty Senate. - Information from the Faculty Senate is clear and easy to understand,Please share your response to each statement below regarding your work on the Faculty Senate. - Senate leadership respond appropriately to questions or concerns from faculty,Please share your response to each statement below regarding your work on the Faculty Senate. - Administrative support of the Senate is appropriate and helpful,Please share your response to each statement below regarding your work on the Faculty Senate. - I am comfortable discussing specific policy concerns I would like to address at the Senate,Please share your response to each statement below regarding your work on the Faculty Senate. - My service on the Senate is valued in my unit,Please share your response to each statement below regarding your work on the Faculty Senate. - The time and effort required for the Senate is reasonable given its impact,Please share your response to each statement below regarding your work on the Faculty Senate. - Service on the Senate contributes meaningfully to institutional decisions,Please share your response to each statement below regarding your work on the Faculty Senate. - Senate meetings are well-run and make efficient use of time,Please share your response to each statement below regarding your work on the Faculty Senate. - The Senate works to address the concerns of faculty at large,Would you like to share anything about your answers above?,What areas should the Senate prioritize for process improvement next year?,What policy areas would you like the Senate to focus on next year?,Please share any other feedback you have for the Senate below.,What council do you currently serve on?,Please share your response to each statement below regarding your work on the Faculty Councils. - The Faculty Council communicate meeting agendas and materials in a timely manner,Please share your response to each statement below regarding your work on the Faculty Councils. - Information from the Faculty Council is clear and easy to understand,Please share your response to each statement below regarding your work on the Faculty Councils. - Senate leadership respond appropriately to questions or concerns from faculty,Please share your response to each statement below regarding your work on the Faculty Councils. - Administrative support of the council is appropriate and helpful,Please share your response to each statement below regarding your work on the Faculty Councils. - I am comfortable discussing specific policy concerns I would like to address in the Council,Please share your response to each statement below regarding your work on the Faculty Councils. - My service on the Council is valued in my unit for promotion and tenure,Please share your response to each statement below regarding your work on the Faculty Councils. - The time and effort required for Councils is reasonable given its impact,Please share your response to each statement below regarding your work on the Faculty Councils. - Faculty service on the Council contributes meaningfully to institutional decisions,Please share your response to each statement below regarding your work on the Faculty Councils. - Council meetings are well-run and make efficient use of time,Please share your response to each statement below regarding your work on the Faculty Councils. - The council works to address the concerns of faculty at large,Anything you would like to share about your answers above?,What areas should the Councils prioritize for process improvement next year?,What policy areas would you like the Council to focus on next year?,Please share any other feedback you have for the Councils below.,Please share your response to each statement below. - The Faculty Senate communicates meeting agendas and materials in a timely manner,Please share your response to each statement below. - Information from the Faculty Senate is clear and easy to understand,Please share your response to each statement below. - Senate leadership respond appropriately to questions or concerns from faculty,Please share your response to each statement below. - Administrative support of the Senate is appropriate and helpful,Please share your response to each statement below. - I am comfortable discussing specific policy concerns I would like to address at the Senate,Please share your response to each statement below. - My service on the Senate is valued in my unit,Please share your response to each statement below. - The time and effort required for the Senate is reasonable given its impact,Please share your response to each statement below. - Service on the Senate contributes meaningfully to institutional decisions,Please share your response to each statement below. - Senate meetings are well-run and make efficient use of time,Please share your response to each statement below. - The Senate works to address the concerns of faculty at large,Would you like to share anything about your answers above?,What areas should the Senate prioritize for process improvement next year?,What policy areas would you like the Senate to focus on next year?,Please share any other feedback you have for the Senate below.,What council do you currently serve on?,Please share your response to each statement below. - The Faculty Council communicate meeting agendas and materials in a timely manner,Please share your response to each statement below. - Information from the Faculty Council is clear and easy to understand,Please share your response to each statement below. - Senate leadership respond appropriately to questions or concerns from faculty,Please share your response to each statement below. - Administrative support of the council is appropriate and helpful,Please share your response to each statement below. - I am comfortable discussing specific policy concerns I would like to address in the Council,Please share your response to each statement below. - My service on the Council is valued in my unit for promotion and tenure,Please share your response to each statement below. - The time and effort required for Councils is reasonable given its impact,Please share your response to each statement below. - Service on the Council contributes meaningfully to institutional decisions,Please share your response to each statement below. - Council meetings are well-run and make efficient use of time,Please share your response to each statement below. - The council works to address the concerns of faculty at large,Anything you would like to share about your answers above?,What areas should the Council prioritize for process improvement next year?,What policy areas would you like the Council to focus on next year?,Please share any other feedback you have for the Councils below.
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID27""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID33_3""}","{""ImportId"":""QID33_4""}","{""ImportId"":""QID33_5""}","{""ImportId"":""QID33_6""}","{""ImportId"":""QID33_7""}","{""ImportId"":""QID33_8""}","{""ImportId"":""QID33_9""}","{""ImportId"":""QID33_10""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_2""}","{""ImportId"":""QID32_3""}","{""ImportId"":""QID32_4""}","{""ImportId"":""QID32_5""}","{""ImportId"":""QID32_6""}","{""ImportId"":""QID32_7""}","{""ImportId"":""QID32_8""}","{""ImportId"":""QID32_9""}","{""ImportId"":""QID32_10""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID22_6""}","{""ImportId"":""QID22_7""}","{""ImportId"":""QID22_8""}","{""ImportId"":""QID22_9""}","{""ImportId"":""QID22_10""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID18_6""}","{""ImportId"":""QID18_7""}","{""ImportId"":""QID18_8""}","{""ImportId"":""QID18_9""}","{""ImportId"":""QID18_10""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID21_TEXT""}"
2026-04-02 15:44:30,2026-04-02 15:45:15,IP Address,146.79.254.10,100,44,True,2026-04-02 15:45:15,R_7UW2zwsPRjQnNYs,,,,,47.6109,-122.3303,anonymous,EN,Woman,Non-Tenure Track,5-10 years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,,,,,,,,,,,,,,,,,,
2026-04-02 15:44:09,2026-04-02 15:45:32,IP Address,205.175.106.77,100,82,True,2026-04-02 15:45:32,R_1WSTA36P0H52XtE,,,,,47.6631,-122.3029,anonymous,EN,Man,Non-Tenure Track,10+ years,Faculty Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FCAS (Academic standards),FCUL (University Libraries)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
2026-04-02 15:44:41,2026-04-02 15:45:51,IP Address,205.175.106.162,100,69,True,2026-04-02 15:45:51,R_5togWywy0DGDwMR,,,,,47.6631,-122.3029,anonymous,EN,Man,Non-Tenure Track,5-10 years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,,,,,,,,,,,,,,,,
2026-04-02 15:44:51,2026-04-02 15:46:09,IP Address,205.175.106.158,100,77,True,2026-04-02 15:46:09,R_7FQHl4HDwKiHBON,,,,,47.6631,-122.3029,anonymous,EN,Woman,Tenure Track,10+ years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly Disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,
2026-04-02 15:44:20,2026-04-02 15:46:09,IP Address,97.186.7.153,100,109,True,2026-04-02 15:46:10,R_3fOZ9Zw4juCtRRC,,,,,47.4714,-122.2203,anonymous,EN,Man,Tenure Track,3-5 years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,
2026-04-02 15:46:11,2026-04-02 15:47:44,IP Address,174.21.181.80,100,92,True,2026-04-02 15:47:44,R_3EL9wTsFimu0m5e,,,,,47.6348,-122.3451,anonymous,EN,Woman,Tenure Track,5-10 years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,livable wages for faculty,livable wages for faculty,,,,,,,,,,,,,,,,
2026-04-02 15:46:44,2026-04-02 15:48:30,IP Address,174.165.173.54,100,105,True,2026-04-02 15:48:30,R_6NV7RsncBL6AIko,,,,,47.6222,-122.52,anonymous,EN,Man,Non-Tenure Track,10+ years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,,,,,,,,,,,,,,,,,,,
2026-04-02 15:44:44,2026-04-02 15:51:34,IP Address,71.212.57.105,100,410,True,2026-04-02 15:51:35,R_6lQAoKKesO1V8fQ,,,,,47.54,-122.3032,anonymous,EN,,Tenure Track,10+ years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Somewhat disagree,,"Faculty salary and Admin salary . . . faculty get little and are asked to do more, while Admin salaries seem to go up and up . . .  ",A faculty union is needed to achieve actual shared governance.  The Admin. just does whatever it wants . . . faculty complain . . . and are ignored.  This won't change until the faculty unionize and hold the Admin. to account.,,,,,,,,,,,,,,,,
